hash,filename,testcase,type
f7a9fa381b306525ccc4c03ff7bdcb2d09512be3,AesCtrHmacAeadProtoSerializationTest.java,testParseKey_legacy,added
f7a9fa381b306525ccc4c03ff7bdcb2d09512be3,AesCtrHmacAeadProtoSerializationTest.java,testSerializeKeys_noAccess_throws,added
c8cc5d2c20ba0a7d0c2456e240477375adb449a9,CreateKeysetCommandTest.java,testCreateCleartext_shouldCreateNewKeyset,added
e28a6530b239a8e0529ead301ffa33ae4c7e05e2,AesGcmHkdfStreamingKeyTest.java,testEqualities,added
e28a6530b239a8e0529ead301ffa33ae4c7e05e2,AesGcmHkdfStreamingKeyTest.java,testDifferentKeyTypesEquality_fails,added
33ecd4c7fe720974da5af89d88c90e923f551a49,AesGcmHkdfStreamingParametersTest.java,testNotEqualandNotEqualHashCode,added
33ecd4c7fe720974da5af89d88c90e923f551a49,AesGcmHkdfStreamingParametersTest.java,testEqualDifferentClass,added
63e3fb6a991c4290983536dfff12211c5e7b28f6,AesCtrHmacAeadKeyTest.java,testEqualities,added
63e3fb6a991c4290983536dfff12211c5e7b28f6,AesCtrHmacAeadKeyTest.java,testDifferentKeyTypesEquality_fails,added
a3eb203f1102c34330f0b18604497878ae29e83c,KeysetHandleTest.java,testBuilder_buildTwice_fails,added
19a0f7c459c7e27ea4c2aa0f19f1d9d7728aef05,AesCtrHmacAeadParametersTest.java,testEqualsAndEqualHashCode,added
19a0f7c459c7e27ea4c2aa0f19f1d9d7728aef05,AesCtrHmacAeadParametersTest.java,testNotEqualandNotEqualHashCode,added
79aa0d34eeef4f109c390db58d5161780aa4fced,UtilTest.java,testIsAndroid,added
4c3f7af44dd9aea8f0b328de45f1247438cbebc7,XChaCha20Poly1305ProtoSerializationTest.java,testParseKeys_noAccess_throws,added
4c3f7af44dd9aea8f0b328de45f1247438cbebc7,XChaCha20Poly1305ProtoSerializationTest.java,testSerializeKeys_noAccess_throws,added
c9689e03947f9655a8b177b1232238d43cdf589b,ChaCha20Poly1305ProtoSerializationTest.java,testParseKeys_noAccess_throws,added
c9689e03947f9655a8b177b1232238d43cdf589b,ChaCha20Poly1305ProtoSerializationTest.java,testSerializeKeys_noAccess_throws,added
edc313d55491ccdbe676b20667007c171d1456a1,MacWrapperTest.java,testComputeVerifyMac_works,added
edc313d55491ccdbe676b20667007c171d1456a1,MacWrapperTest.java,testComputeVerifyMac_throwsOnWrongKey,added
edc313d55491ccdbe676b20667007c171d1456a1,MacWrapperTest.java,testVerifyMac_checksAllNecessaryRawKeys,added
edc313d55491ccdbe676b20667007c171d1456a1,MacWrapperTest.java,testVerifyMac_checksRawKeysWhenTagHasTinkKeyPrefix,added
edc313d55491ccdbe676b20667007c171d1456a1,MacWrapperTest.java,testComputeVerifyMac_manyKeysWork,added
edc313d55491ccdbe676b20667007c171d1456a1,MacWrapperTest.java,testVerifyMac_shiftedPrimaryWithManyKeysWorks,added
1306800e4a668e326d7984108c4b1eba574bf3c2,XChaCha20Poly1305KeyTest.java,testEqualities,added
1306800e4a668e326d7984108c4b1eba574bf3c2,XChaCha20Poly1305ParametersTest.java,testEqualsAndEqualHashCode_noPrefix,added
1306800e4a668e326d7984108c4b1eba574bf3c2,XChaCha20Poly1305ParametersTest.java,testEqualsAndEqualHashCode_tink,added
1306800e4a668e326d7984108c4b1eba574bf3c2,XChaCha20Poly1305ParametersTest.java,testEqualsAndEqualHashCode_crunchy,added
1306800e4a668e326d7984108c4b1eba574bf3c2,XChaCha20Poly1305ParametersTest.java,testEqualsAndEqualHashCode_different,added
e8ed1d422aea8d921e2826216725733233b3d95b,ChaCha20Poly1305KeyTest.java,testEqualities,added
e8ed1d422aea8d921e2826216725733233b3d95b,ChaCha20Poly1305ParametersTest.java,testEqualsAndEqualHashCode_noPrefix,added
e8ed1d422aea8d921e2826216725733233b3d95b,ChaCha20Poly1305ParametersTest.java,testEqualsAndEqualHashCode_tink,added
e8ed1d422aea8d921e2826216725733233b3d95b,ChaCha20Poly1305ParametersTest.java,testEqualsAndEqualHashCode_crunchy,added
e8ed1d422aea8d921e2826216725733233b3d95b,ChaCha20Poly1305ParametersTest.java,testEqualsAndEqualHashCode_different,added
407d3c23f07eadb526fbf91e6f55aa4dda20e556,HkdfPrfProtoSerializationTest.java,testSerializeKey_noAccess_fails,added
407d3c23f07eadb526fbf91e6f55aa4dda20e556,HkdfPrfProtoSerializationTest.java,testParseKey_noAccess_fails,added
583dd9deb44215d23b6ae58edb954155ae3aec2f,AesGcmSivProtoSerializationTest.java,testParseKeys_noAccess_throws,added
583dd9deb44215d23b6ae58edb954155ae3aec2f,AesGcmSivProtoSerializationTest.java,testSerializeKeys_noAccess_throws,added
9fa6a3a97cb310a39f287324fb2b9e6166333677,AesGcmProtoSerializationTest.java,testParseKeys_noAccess_throws,added
9fa6a3a97cb310a39f287324fb2b9e6166333677,AesGcmProtoSerializationTest.java,testSerializeKeys_noAccess_throws,added
f8863881ae754624f26eeb8071908821b7cf1b3d,AesGcmKeyManagerTest.java,testDeriveKey_handlesDataFragmentationCorrectly,added
f8863881ae754624f26eeb8071908821b7cf1b3d,AesGcmSivKeyManagerTest.java,testDeriveKey_handlesDataFragmentationCorrectly,added
f8863881ae754624f26eeb8071908821b7cf1b3d,XChaCha20Poly1305KeyManagerTest.java,testDeriveKey_handlesDataFragmentationCorrectly,added
f8863881ae754624f26eeb8071908821b7cf1b3d,AesSivKeyManagerTest.java,testDeriveKey_handlesDataFragmentationCorrectly,added
f8863881ae754624f26eeb8071908821b7cf1b3d,HmacKeyManagerTest.java,testDeriveKey_handlesDataFragmentationCorrectly,added
f8863881ae754624f26eeb8071908821b7cf1b3d,HmacPrfKeyManagerTest.java,testDeriveKey_handlesDataFragmentationCorrectly,added
f8863881ae754624f26eeb8071908821b7cf1b3d,Ed25519PrivateKeyManagerTest.java,testDeriveKey_handlesDataFragmentationCorrectly,added
f8863881ae754624f26eeb8071908821b7cf1b3d,AesGcmHkdfStreamingKeyManagerTest.java,testDeriveKey_handlesDataFragmentationCorrectly,added
d5fb2f10df662549a9d43d5a29287b1e7ab145fb,ChunkedMacWrapperTest.java,testComputeVerifyMac_works,added
d5fb2f10df662549a9d43d5a29287b1e7ab145fb,ChunkedMacWrapperTest.java,testComputeVerifyMac_throwsOnWrongKey,added
d5fb2f10df662549a9d43d5a29287b1e7ab145fb,ChunkedMacWrapperTest.java,testComputeVerifyMac_handlesByteBufferCorrectly,added
d5fb2f10df662549a9d43d5a29287b1e7ab145fb,ChunkedMacWrapperTest.java,testVerifyMac_handlesByteBufferCorrectlyWhenNoKeyMatches,added
d5fb2f10df662549a9d43d5a29287b1e7ab145fb,ChunkedMacWrapperTest.java,testVerifyMac_checksAllNecessaryRawKeys,added
d5fb2f10df662549a9d43d5a29287b1e7ab145fb,ChunkedMacWrapperTest.java,testVerifyMac_suppressedExceptionsGetPropagated,added
d5fb2f10df662549a9d43d5a29287b1e7ab145fb,ChunkedMacWrapperTest.java,testVerifyMac_checksRawKeysWhenTagHasTinkKeyPrefix,added
d5fb2f10df662549a9d43d5a29287b1e7ab145fb,ChunkedMacWrapperTest.java,testComputeMac_usesPrimaryKey,added
d5fb2f10df662549a9d43d5a29287b1e7ab145fb,ChunkedMacWrapperTest.java,testComputeVerifyMac_manyKeysWork,added
